"District","Mandal","School.UDISE.Code","School.Name","Enrollment","School_Category"
"KRISHNA","Chandarlapadu",28160501304,"ZPHS Thotaravulapadu",157,"7-Upper Pr. and Secondary"
"GUNTUR","Amthurhaluru",28174900107,"SKV HIGH SCHOOL KUCHIPUDI",241,"7-Upper Pr. and Secondary"
"GUNTUR","Amthurhaluru",28132102101,"MPPS GOVADA",111,"1-Primary"
"GUNTUR","Amthurhaluru",28174900102,"MPPS NTR ROAD",97,"1-Primary"
"GUNTUR","Ponnur",28174801906,"ZPHS NANDURU",239,"7-Upper Pr. and Secondary"
"EAST GODAVARI","Kothapeta",28144600204,"ZPHS VADAPALEM",488,"7-Upper Pr. and Secondary"
"ANANTAPUR","Kanekal ",28221700105,"ZPHS GANIGERA",163,"7-Upper Pr. and Secondary"
"SRIKAKULAM","Jalumuru",28112302603,"ZPHS ALLADA",125,"7-Upper Pr. and Secondary"
"ANANTAPUR","Kanekar",28221700103,"MPPS GANIGERA",133,"1-Primary"
"KURNOOL","Orvakallu",28211701504,"ZPHS UYYALAWADA",353,"7-Upper Pr. and Secondary"
"KURNOOL","kurnool",28210790537,"MCPS A CAMP",366,"1-Primary"
"EAST GODAVARI","Razole",28145700510,"ZPHS SIVAKODU",310,"7-Upper Pr. and Secondary"
"ANANTAPUR","Vidapanakal",28220300705,"ZPHS KOTTALAPALLI",110,"7-Upper Pr. and Secondary"
"PRAKASAM","Pangulur",28182601406,"ZPHS CHANDALUR",313,"7-Upper Pr. and Secondary"
"WEST GODAVARI","TADEPALLI GUDEM",28151800705,"ZPHS, KADIYADDA",486,"7-Upper Pr. and Secondary"
"WEST GODAVARI","TADEPALLI GUDEM",28151800803,"MPPS, MODUGAGUNTA",115,"1-Primary"
"WEST GODAVARI","TADEPALLI GUDEM",28151800907,"ZPHS, MADHAVARAM",329,"7-Upper Pr. and Secondary"
"WEST GODAVARI","TADEPALLI GUDEM",28151801005,"ZPHS, JAGANADHAPURAM",343,"7-Upper Pr. and Secondary"
"WEST GODAVARI","TADEPALLI GUDEM",28151801402,"ZPHS, KRISHNAYAPALEM",187,"7-Upper Pr. and Secondary"
"CHITTOOR","Chittapara",28235503204,"ZPHS Chittapara",77,"7-Upper Pr. and Secondary"
"CHITTOOR","GUDUPALLE",28236501604,"ZPHS GUDUPALLE",556,"7-Upper Pr. and Secondary"
"NELLORE","VALLIPEDU",28193802502,"ZPHS VALLIPEDU",207,"7-Upper Pr. and Secondary"
"PRAKASAM","PONNALUR",28184101306,"ZPHS,PONNALUR",285,"7-Upper Pr. and Secondary"
"GUNTUR","Ravela",28171300806,"ZPHS RAVELA",465,"7-Upper Pr. and Secondary"
"GUNTUR","NADENDLA",28173801012,"ZPHS NADENDLA",442,"7-Upper Pr. and Secondary"
"KRISHNA","CHINNAPURAM",28163702204,"ZPHS CHINNAPURAM",423,"7-Upper Pr. and Secondary"
"PRAKASAM","BODDUVANI PALEM",28182700213,"ZPHS MEDARAMETLA",427,"7-Upper Pr. and Secondary"
"PRAKASAM","Daivalaravuru",28182700704,"ZPHS DAIVALARAVURU",141,"7-Upper Pr. and Secondary"
"GUNTUR","KANUPARRU",28173800707,"ZPHS KANAPARRU",181,"7-Upper Pr. and Secondary"
"PRAKASAM","MANGAMURU",28184301604,"ZPHS,MANGAMURU",187,"7-Upper Pr. and Secondary"
"PRAKASAM","MACHAVARAM",28185001707,"ZPHS,MACHAVARAM (POST)",383,"7-Upper Pr. and Secondary"
"WEST GODAVARI","SINGAGUDEM",28151000405,"ZPHS, SINGAGUDEM",402,"7-Upper Pr. and Secondary"
"EAST GODAVARI","RANGAMPETA",28142600306,"ZPHS RANGAMPETA",703,"7-Upper Pr. and Secondary"
"KRISHNA","KANUMURU",28161201803,"ZPHS KANUMURU",202,"7-Upper Pr. and Secondary"
"PRAKASAM","Kandukur",28210200302,"ZPHS KANDUKUR",287,"7-Upper Pr. and Secondary"
"CHITTOOR","Tiruchanuru",28232601418,"MPPS, Padmavathipuram",112,"1-Primary"
"WEST GODAVARI","Bandapuram",28151400402,"MPPS, Rangaraya Colony",84,"1-Primary"
"GUNTUR","Battiprolu",28175100503,"ZPHS PESARLANKA",276,"7-Upper Pr. and Secondary"
"PRAKASAM","Zarugumalli",28184902007,"ZPHS,ZARUGUMALLI",364,"7-Upper Pr. and Secondary"
"KRISHNA","Pamarru",28131802602,"ZPHS Komaravolu",186,"7-Upper Pr. and Secondary"
"KRISHNA","Pamarru",28163900703,"ZPHS ZAMIGOLVEPALLE",217,"7-Upper Pr. and Secondary"
"KRISHNA","Gudivada",28164201013,"ZPHS PARNASA",56,"7-Upper Pr. and Secondary"
"KRISHNA","Nandivada",28164101707,"ZPHS TAMIRISA",196,"7-Upper Pr. and Secondary"
"KRISHNA","Nandivada",28164100903,"ZPHS NANDIVADA",344,"7-Upper Pr. and Secondary"
"KRISHNA","Pamarru",28163901702,"ZPHS ZAMIDAGGUMILLI",90,"7-Upper Pr. and Secondary"
"KRISHNA","Pamarru",28163900103,"ZPHS KANUMURU",145,"7-Upper Pr. and Secondary"
"KRISHNA","Gudlavalleru",28164300206,"ZPHS(SLVB) ANGALURU",159,"7-Upper Pr. and Secondary"
"KRISHNA","Gudlavalleru",28164301508,"S V V G R GOVT HS",243,"7-Upper Pr. and Secondary"
"KRISHNA","Gudlavalleru",28164300207,"GOVT HS (GIRLS) ANGALURU",209,"7-Upper Pr. and Secondary"
"KRISHNA","Pamarru",28163901905,"ZPHS PASUMARRU",140,"7-Upper Pr. and Secondary"
"KRISHNA","Ghantasala",28163101013,"ZPHS GHANTASALA",349,"7-Upper Pr. and Secondary"
"WEST GODAVARI","Undi",28153301314,"ZPHS, UNDI",800,"7-Upper Pr. and Secondary"
"KRISHNA","Pamarru",28163902605,"ZPHS KOTHANIMMAKURU",129,"7-Upper Pr. and Secondary"
"WEST GODAVARI","Ganapavaram",28152600904,"ZPHS, ARDHAVARAM",248,"7-Upper Pr. and Secondary"
"KRISHNA","Penamaluru",28161800305,"ZPHS PORANKI",413,"7-Upper Pr. and Secondary"
"KRISHNA","Kaikaluru",28164801102,"ZPHS ALAPADU",169,"7-Upper Pr. and Secondary"
"KRISHNA","Pedaparupudi",28164001805,"ZPHS (SRSA) ELAMARRU",229,"7-Upper Pr. and Secondary"
"KRISHNA","Gannavaram",28162101104,"ZPHS VEERAPANENIGUDEM",238,"7-Upper Pr. and Secondary"
"KRISHNA","Penamaluru",28161800505,"ZPHS PENAMALURU",792,"7-Upper Pr. and Secondary"
"GUNTUR","Guntur",28164601604,"ZPHS (ESCM)PEDA PALAPARRU",149,"7-Upper Pr. and Secondary"
"PRAKASAM","Tangurturu",28184801504,"ZPHS,KONIJEDU",201,"7-Upper Pr. and Secondary"
"PRAKASAM","Tanguturu",28184801606,"ZPHS,M.NIDAMALUR",168,"7-Upper Pr. and Secondary"
"PRAKASAM","Tanguturu",28184801404,"ZPHS,MARLAPADU",201,"7-Upper Pr. and Secondary"
"PRAKASAM","Tanguturu",28184800504,"ZPHS,KARUMANCHI",151,"7-Upper Pr. and Secondary"
"KRISHNA","Challapalli",28163200804,"ZPHS VAKKALAGADDA",148,"7-Upper Pr. and Secondary"
"VISAKHAPATNAM","ANAKAPALLI",28133300925,"ZPHS KONDUPALEM",41,"7-Upper Pr. and Secondary"
"KRISHNA","MACHILIPATNAM",28163700204,"ZPHS V KANURU",183,"7-Upper Pr. and Secondary"
"KRISHNA","MACHILIPATNAM",28163701005,"ZPHS CHITTIPALEM",183,"7-Upper Pr. and Secondary"
"KRISHNA","MACHILIPATNAM",28163702703,"ZPHS POLATITIPPA",110,"7-Upper Pr. and Secondary"
"KRISHNA","GUDURU",28163800205,"ZPHS MUKKOLLU",61,"7-Upper Pr. and Secondary"
"KRISHNA","GUDURU",28163800602,"ZPHS KAPPALADODDI",336,"7-Upper Pr. and Secondary"
"KRISHNA","GUDLAVALLERU",28164302308,"ZPHS VADLAMANNADU",282,"7-Upper Pr. and Secondary"
"KRISHNA","PEDANA",28164490618,"ZPHS (BGK) 20WARD",1314,"7-Upper Pr. and Secondary"
"KRISHNA","MANDAVALLI",28164702603,"ZPHS LINGALA",166,"7-Upper Pr. and Secondary"
"KRISHNA","MACHILIPATNAM",28163790488,"GovtHS LAGGHS (Girls) 12WARD",235,"7-Upper Pr. and Secondary"
"KRISHNA","VIJAYAWADA URBAN",28161790951,"K.S.R ZP HS (G), P.LANKA",459,"7-Upper Pr. and Secondary"
"KRISHNA","PENAMALURU",28161800109,"ZPHS YANAMALA KUDURU",180,"7-Upper Pr. and Secondary"
"KRISHNA","PENAMALURU",28161800305,"ZPHS PORANKI",413,"7-Upper Pr. and Secondary"
"KRISHNA","PENAMALURU",28161800505,"ZPHS PENAMALURU",792,"7-Upper Pr. and Secondary"
"KRISHNA","PENAMALURU",28161800605,"ZPHS TADIGADAPA",290,"7-Upper Pr. and Secondary"
"KRISHNA","KANKIPADU",28162000405,"ZPHS TENNERU",175,"7-Upper Pr. and Secondary"
"KRISHNA","PAMIDIMUKKALA",28162901803,"ZPHS AGINAPARRU",140,"7-Upper Pr. and Secondary"
"ANANTAPUR","URAVAKONDA",28221501703,"ZPHS MOPIDI",180,"7-Upper Pr. and Secondary"
"KRISHNA","GAMPALAGUDEM",28161200204,"ZPHS NEMALI",220,"7-Upper Pr. and Secondary"
"KRISHNA","CHALLAPALLI",28163200913,"ZPHS CHALLAPALLI",258,"7-Upper Pr. and Secondary"
"KRISHNA","VERULLAPADU",28160700703,"SVH ZPHS VEERILLAPADU",219,"7-Upper Pr. and Secondary"
"KRISHNA","PENAMALURU",28161890306,"ZPHS KANURU",530,"7-Upper Pr. and Secondary"
"KRISHNA","MUDINEPALLI",28164603105,"ZPHS GURAJA",318,"7-Upper Pr. and Secondary"
"KRISHNA","Pamidimukkala",28162901803,"ZPHS AGINAPARRU",140,"7-Upper Pr. and Secondary"
"GUNTUR","Bapatla",28175701401,"MPPS N.CHERCH.NARASAYA.PM",70,"1-Primary"
"GUNTUR","Nagaram",28175301214,"ZPHS MANTRIPALEM",124,"7-Upper Pr. and Secondary"
"KRISHNA","Vijayawada",28161790951,"K.S.R Zp Hs (G), P.Lanka School",459,"7-Upper Pr. and Secondary"
"GUNTUR","Pedakurapadu",28171401309,"ZPHS PEDAKURAPADU",579,"7-Upper Pr. and Secondary"
"KRISHNA","MEDIKONDURU",28172501102,"MPPS (U) TURAKAPALEM",133,"1-Primary"
"VISAKHAPATNAM","ANAKAPALLI",28133390146,"MPL TOWN GIRLS HS",476,"7-Upper Pr. and Secondary"
"KRISHNA","PAMARRU",28163900204,"MPUPS KURUMADDALI",123,"2-Primary with Upper Primary"
"KRISHNA","NANDIVADA",28164100202,"MPUPS ARIPIRALA",75,"2-Primary with Upper Primary"
"KRISHNA","Pamarru",28163900503,"ZPHS ADDADA",248,"7-Upper Pr. and Secondary"
"KRISHNA","Chandarlapadu",28160500407,"ZPHS Konaya Plaem",381,"7-Upper Pr. and Secondary"
"KRISHNA","Nandigama",28160402203,"ZPHS Longalapadu",341,"7-Upper Pr. and Secondary"
"NELLORE","Thotapalligudur",28192801006,"ZPHS Chinnapalli Palem",558,"7-Upper Pr. and Secondary"
"KRISHNA","Pamidimukkala",28162901508,"Y V R M ZPHS MEDURU",198,"7-Upper Pr. and Secondary"
"PRAKASAM","KORISAPADU",28182700704,"ZPHS DAIVALARAVURU",141,"7-Upper Pr. and Secondary"
"PRAKASAM","KONDAPI",28184200406,"ZPHS,PETLUR (VILL)",109,"7-Upper Pr. and Secondary"
"PRAKASAM","KONDAPI",28184201404,"ZPHS,NETHIVARIPALEM",93,"7-Upper Pr. and Secondary"
"PRAKASAM","KONDAPI",28184201806,"ZPHS,MUPPAVARAM (VILL)",139,"7-Upper Pr. and Secondary"
"PRAKASAM","KONDAPI",28184202003,"ZPHS,VENNUR (VILL)",159,"7-Upper Pr. and Secondary"
"PRAKASAM","DONAKONDA",28180500204,"ZPHS CHANDAVARAM",121,"7-Upper Pr. and Secondary"
"PRAKASAM","ONGOLE",28184400304,"ZPHS,ULICHI(VILL)",254,"7-Upper Pr. and Secondary"
"PRAKASAM","ADDANKI",28181601518,"SRI PRAKSAM GOVT GIRLS HI",605,"7-Upper Pr. and Secondary"
"PRAKASAM","NAGULUPPALAPADU",28184500303,"ZPHS,POTHAVARAM (VILL)",121,"7-Upper Pr. and Secondary"
"PRAKASAM","NAGULUPPALAPADU",28184501503,"ZPHS,EDUMUDI (VILL)",100,"7-Upper Pr. and Secondary"
"KRISHNA","Challapalli",28163201105,"Z P HS MANGALAPURAM",143,"7-Upper Pr. and Secondary"
"KRISHNA","Challapalli",28163200503,"ZPHS PURITIGADDA",278,"7-Upper Pr. and Secondary"
"VISAKHAPATNAM","DEVARAPALLI",28130700401,NA,110,"1-Primary"
"VISAKHAPATNAM","G.K.VEEDHI",28131300404,"MPPS SILERU",119,"1-Primary"
"VISAKHAPATNAM","RAMBILLI",28134202809,"ZPHS RAMBILLI",603,"7-Upper Pr. and Secondary"
"VIZIANAGARAM","BOBBILI",28121090114,"MPL PS SRI VENU GOPALA",126,"1-Primary"
"GUNTUR","GUNTUR",28172900105,"ZPHS VALLABHAPURAM",205,"7-Upper Pr. and Secondary"
"GUNTUR","GUNTUR",28172900204,"ZPHS MUNNANGI",351,"7-Upper Pr. and Secondary"
"VIZIANAGARAM","jami",28123300601,"MPPS THANDRANGI",52,"1-Primary"
"VIZIANAGARAM","Saluru",28121107103,"ZPHS BAGUVALASA",97,"7-Upper Pr. and Secondary"
"VIZIANAGARAM","saluru",28121108602,"ZPHS SIVARAMPURAM",188,"7-Upper Pr. and Secondary"
"VISAKHAPATNAM","K.Kotapadu",28132201903,"ZPHS Medicherla",69,"7-Upper Pr. and Secondary"
"VISAKHAPATNAM","K.Kotapadu",28132202401,"MPPS Sudivalasa",51,"1-Primary"
"VISAKHAPATNAM","Cheedikada",28130801503,"ZPHS KHANDIVARAM",236,"7-Upper Pr. and Secondary"
"VISAKHAPATNAM","Devarapalli",28130703301,"MPUPS Vakapalli",145,"2-Primary with Upper Primary"
"VISAKHAPATNAM","Madugula",28130900802,"MPPS D. GOTIVADA",48,"1-Primary"
"VISAKHAPATNAM","Madugula",28130902701,"MPUPS M. KOTAPADU",137,"2-Primary with Upper Primary"
"VISAKHAPATNAM","Devarapalli",28130703003,"ZPHS Tenugupudi",138,"7-Upper Pr. and Secondary"
"VISAKHAPATNAM","Devarapalli",28130704003,"ZPHS Kaligotla",85,"7-Upper Pr. and Secondary"
"VISAKHAPATNAM","K.Kotapadu",28132203001,"MPUPS Gullepalle",140,"2-Primary with Upper Primary"
"VISAKHAPATNAM","Devarapalli",28130702104,"ZPHS Kasipuram",237,"7-Upper Pr. and Secondary"
"VISAKHAPATNAM","K.Kotapadu",28132201401,"MPUPS Dalivalasa",129,"2-Primary with Upper Primary"
"VISAKHAPATNAM","Madugula",28130903701,"MPUP School",88,"1-Primary"
"VISAKHAPATNAM","Devarapalli",28130700601,"MPUP School",143,"2-Primary with Upper Primary"
"VISAKHAPATNAM","K.Kotapadu",28132202107,"MPPS Gompavanipalem",89,"1-Primary"
"VISAKHAPATNAM","Cheedikada",28130801902,"ZPHS BYLAPUDI",81,"7-Upper Pr. and Secondary"
"VISAKHAPATNAM","Cheedikada",28130801703,"ZPHS APPALARAJUPURAM",273,"7-Upper Pr. and Secondary"
"VISAKHAPATNAM","Cheedikada",28130803001,"MPUS DIBBAPALEM",116,"2-Primary with Upper Primary"
"VISAKHAPATNAM","Cheedikada",28130802701,"ZPHS Varahapuram",193,"7-Upper Pr. and Secondary"
"VISAKHAPATNAM","Madugula",28130903601,"GOTIVADA AGRAHARAM",210,"2-Primary with Upper Primary"
"VISAKHAPATNAM","K.Kotapadu",28132201706,"ZPHS Alamanda Koduru",599,"7-Upper Pr. and Secondary"
"VISAKHAPATNAM","Devarapalli",28130703702,"ZPHS Vechalam",149,"7-Upper Pr. and Secondary"
"KRISHNA","Challapalli",28163200913,"ZPHS Challapalli",258,"7-Upper Pr. and Secondary"
"WEST GODAVARI","Pedpadu",28152200207,"ZPHS Vatluru",193,"7-Upper Pr. and Secondary"
"KRISHNA","Nandivada",28164100704,"ZPHS Vennanapudi",221,"7-Upper Pr. and Secondary"
"KRISHNA","Pedaparapudi",28164000903,"ZPHS Vanapamula",189,"7-Upper Pr. and Secondary"
"KRISHNA","Pedaparapudi",28164000810,"ZPHS Ventrapragada",259,"7-Upper Pr. and Secondary"
"SRIKAKULAM","Srikakulam",28111902905,"ZPHS Ippili",412,"7-Upper Pr. and Secondary"
"GUNTUR","Prathipadu",28173601005,"ZPHS Vangipuram",112,"7-Upper Pr. and Secondary"
"GUNTUR","BRAHMANA KODUR",28174800203,"ZPHS B KODURU",206,"7-Upper Pr. and Secondary"
"WEST GODAVARI","GUNTUPALLE",28151100307,"ZPHS, JEELAKARAGUDEM",148,"7-Upper Pr. and Secondary"
"KRISHNA","MYLAVARAM",28161000907,"MPPS MYLAVARAM",135,"1-Primary"
"ANANTAPUR","PUTTAPARTHI",28224900114,"ZPHS PUTTAPARTHI",401,"7-Upper Pr. and Secondary"
"ANANTAPUR","AMAGONDAPALEM",28224900407,"ZPHS E.GANGIREDDY PALLI",90,"7-Upper Pr. and Secondary"
"NELLORE","SHAR PROJECT",28194504303,"ZPHS SRIHARIKOTA",204,"7-Upper Pr. and Secondary"
"GUNTUR","RAVELA",28171300806,"ZPHS RAVELA",465,"7-Upper Pr. and Secondary"
"GUNTUR","REPALLE",28175201301,"MPPS NALLURUPALEM",144,"1-Primary"
"KADAPA","PULIVENDLA",28202001206,"MPPS NALLAPUREDDIPALLI",90,"1-Primary"
"PRAKASAM","KANDUKUR",28185090337,"ZPHS,KANDUKURU,O.V ROAD",790,"7-Upper Pr. and Secondary"
"KRISHNA","VIJAYAWADA URBAN",28161790955,"DSMC HS, V.D.PURAM",539,"7-Upper Pr. and Secondary"
"KRISHNA","NANDIGAMA",28160401403,"MPPS RUDRAVARAM (S)",82,"1-Primary"
"GUNTUR","BAPATLA",28175701301,"MPPS N.T.TEMPLE C.J.PALEM",88,"1-Primary"
"KRISHNA","PEDA AVUTAPALLE",28162700108,"ZPH SL P.AVUTAPALLE",133,"7-Upper Pr. and Secondary"
"KRISHNA","IBRAHIMPATNAM",28160801003," ZPHS MULAPADU",805,"7-Upper Pr. and Secondary"
"WEST GODAVARI","DIRUSUMARRU",28153601309,"ZPHS DIRUSUMARRU",501,"7-Upper Pr. and Secondary"
"KRISHNA","NIDUMOLU",28163000611,"ZPHS NIDUMOLU",317,"7-Upper Pr. and Secondary"
"WEST GODAVARI","ELAMANCHILI",28154400703,"ZPHS, SIRAGALAPALLE",223,"7-Upper Pr. and Secondary"
"EAST GODAVARI","K.GANGAVARAM",28144500401,"MPPS PANINGAPALLI",94,"1-Primary"
"GUNTUR","LAKKARAJU GARLAPADU",28171501903,"ZPHS L GARLAPADU",388,"7-Upper Pr. and Secondary"
"GUNTUR","KOMERAPUDI",28171501805,"ZPHS KOMERAPUDI",503,"7-Upper Pr. and Secondary"
"GUNTUR","DHULIPALLA",28171501103,"ZPHS DHULLIPALLA",248,"7-Upper Pr. and Secondary"
"GUNTUR","GUDIPUDI",28171501505,"ZPHS GUDIPUDI",154,"7-Upper Pr. and Secondary"
"GUNTUR","NANDIGAMA",28171501405,"ZPHS NANDIGAMA",230,"7-Upper Pr. and Secondary"
"GUNTUR","KATTAMURU",28171500405,"ZPHS KATTAMURU",253,"7-Upper Pr. and Secondary"
"GUNTUR","RENTAPALLA",28171500303,"ZPHS RENTAPALLA",308,"7-Upper Pr. and Secondary"
"GUNTUR","SATTENAPALLE",28171590930,"ZPHS SATTENAPALLI(S)",525,"7-Upper Pr. and Secondary"
"GUNTUR","KUNKALAGUNTA",28172200906,"ZPHS KUNKALAGUNTA",458,"7-Upper Pr. and Secondary"
"GUNTUR","CHALLAGUNDLA",28172200506,"ZPHS CHALLAGUNDLA",140,"7-Upper Pr. and Secondary"
"GUNTUR","SVSR ZPHS CHEJARLA",28172201003,"SVSR ZPHS CHEJARLA",229,"7-Upper Pr. and Secondary"
"GUNTUR","NEMALIPURI",28171600109,"ZPHS NEMALIPURI",270,"7-Upper Pr. and Secondary"
"GUNTUR","KUBADPURAM(ANUPALEM)",28171600213,"ZPHS KOTANEMALIPURI",176,"7-Upper Pr. and Secondary"
"GUNTUR","UPPALAPADU",28171600812,"ZPHS INIMETLA",221,"7-Upper Pr. and Secondary"
"GUNTUR","MADALA",28172300310,"ZPHS MADALA",648,"7-Upper Pr. and Secondary"
"GUNTUR","DAMMALAPADU",28172300505,"ZPHS DAMMALAPADU",238,"7-Upper Pr. and Secondary"
"GUNTUR","BOLLAVARAM",28172300402,"ZPHS BOLLAVARAM",47,"7-Upper Pr. and Secondary"
"EAST GODAVARI","K.GANGAVARAM",28144500205,"ZPHS PAMARRU",480,"7-Upper Pr. and Secondary"
"KADAPA","PRODDUTUR",28201500404,"ZPHSDORASANI PALLI",579,"7-Upper Pr. and Secondary"
"CHITTOOR","Punganul",28233700206,"ZPHS Edigepalli ",301,"7-Upper Pr. and Secondary"
"WEST GODAVARI","RANGAPURAM",28151001504,"ZPHS RANGAPURAM",482,"7-Upper Pr. and Secondary"
"WEST GODAVARI","KAMAVARAPUKOTA",28151101112,"ZPHS KAMAVARAPUKOTA",815,"7-Upper Pr. and Secondary"
"VISAKHAPATNAM","Munagapaka",28133401407,"ZPHS MUNAGAPAKA",503,"7-Upper Pr. and Secondary"
"EAST GODAVARI","Ambajipeta",28144801115,"ZPHS AMBAJIPETA",610,"7-Upper Pr. and Secondary"
"VISAKHAPATNAM","GOLUGONDA",28131500501,"MPPS K D PETA",127,"1-Primary"
"KURNOOL","KURNOOL",28210791184,"INDIRA GANDHI MEMO MCHS, A.CAMP, KURNOOL",1160,"7-Upper Pr. and Secondary"
"KURNOOL","KURNOOL",28210791186,"B.R AMBEDKAR MEMO MCHS, JOHARAPURAM, KURNOOL",421,"7-Upper Pr. and Secondary"
"GUNTUR","MEDIKONDURU",28172500309,"ZPHS SIRIPURAM",531,"7-Upper Pr. and Secondary"
"PRAKASAM","CHIMAKURTHI",28182900302,"MPPS PALLAMALLI",109,"1-Primary"
"EAST GODAVARI","ATREYAPURAM",28144300402,"MPUPS VADDIPARRU",111,"2-Primary with Upper Primary"
"PRAKASAM","MADDIPADU",28182802002,"MPPS YEDUGUNDLAPADU(M)",19,"1-Primary"
"PRAKASAM","MADDIPADU",28182802003,"MPPS YEDUGUNDLAPADU KMP",30,"1-Primary"
"KURNOOL","ALUR",28212501409,"GOVT.HS(BOYS-1) ALUR",453,"7-Upper Pr. and Secondary"
"KURNOOL","ALUR",28212501404,"MPPS 4TH WARD",157,"1-Primary"
